Patient,Town
patient_8635,town_1
patient_16804,town_1
patient_15584,town_1
patient_19507,town_1
patient_5733,town_1
patient_9185,town_1
patient_610,town_1
patient_19956,town_1
patient_4664,town_1
patient_16676,town_1
patient_11138,town_1
patient_11656,town_1
patient_14676,town_1
patient_302,town_1
patient_5776,town_1
patient_5011,town_1
patient_2421,town_1
patient_9964,town_1
patient_586,town_1
patient_12664,town_1
patient_21396,town_1
patient_3897,town_1
patient_17008,town_1
patient_15561,town_1
patient_17545,town_1
patient_14275,town_1
patient_4806,town_1
patient_3095,town_1
patient_5372,town_1
patient_10,town_1
patient_4156,town_1
patient_4616,town_1
patient_22110,town_1
patient_15661,town_1
patient_14588,town_1
patient_20330,town_1
patient_19521,town_1
patient_10817,town_1
patient_15028,town_1
patient_12983,town_1
patient_18182,town_1
patient_21909,town_1
patient_12827,town_1
patient_19821,town_1
patient_12924,town_1
patient_14151,town_1
patient_20849,town_1
patient_2756,town_1
patient_10320,town_1
patient_10950,town_1
patient_21290,town_1
patient_400,town_1
patient_21249,town_1
patient_14243,town_1
patient_347,town_1
patient_20440,town_1
patient_15577,town_1
patient_14743,town_1
patient_38,town_1
patient_14088,town_1
patient_14214,town_1
patient_9976,town_1
patient_21657,town_1
patient_3257,town_1
patient_22062,town_1
patient_13455,town_1
patient_5712,town_1
patient_21747,town_1
patient_18748,town_1
patient_21028,town_1
patient_9949,town_1
patient_751,town_1
patient_584,town_1
patient_16457,town_1
patient_19533,town_1
patient_22290,town_1
patient_20701,town_1
patient_6780,town_1
patient_20046,town_1
patient_1054,town_1
patient_9790,town_1
patient_15556,town_1
patient_21250,town_1
patient_6035,town_1
patient_15939,town_1
patient_15995,town_1
patient_19841,town_1
patient_18785,town_1
patient_16993,town_1
patient_16660,town_1
patient_3216,town_1
patient_17385,town_1
patient_19972,town_1
patient_20401,town_1
patient_6442,town_1
patient_7756,town_1
patient_21395,town_1
patient_1430,town_1
patient_10733,town_1
patient_12331,town_1
patient_274,town_1
patient_9892,town_1
patient_16947,town_1
patient_5268,town_1
patient_16588,town_1
patient_18863,town_1
patient_16367,town_1
patient_767,town_1
patient_13923,town_1
patient_5065,town_1
patient_18937,town_1
patient_18779,town_1
patient_21622,town_1
patient_6119,town_1
patient_4854,town_1
patient_17597,town_1
patient_5210,town_1
patient_20839,town_1
patient_14147,town_1
patient_8486,town_1
patient_1325,town_1
patient_19126,town_1
patient_16020,town_1
patient_14808,town_1
patient_10568,town_1
patient_5426,town_1
patient_13989,town_1
patient_18881,town_1
patient_18450,town_1
patient_12204,town_1
patient_10840,town_1
patient_7659,town_1
patient_518,town_1
patient_8320,town_1
patient_14731,town_1
patient_13404,town_1
patient_20400,town_1
patient_9014,town_1
patient_9646,town_1
patient_13432,town_1
patient_6057,town_1
patient_3293,town_1
patient_1502,town_1
patient_5151,town_1
patient_8879,town_1
patient_11711,town_1
patient_13699,town_1
patient_20322,town_1
patient_21029,town_1
patient_1782,town_1
patient_622,town_1
patient_4882,town_1
patient_1632,town_1
patient_7982,town_1
patient_15027,town_1
patient_8200,town_1
patient_18090,town_1
patient_1162,town_1
patient_792,town_1
patient_18852,town_1
patient_14291,town_1
patient_16385,town_1
patient_4632,town_1
patient_18820,town_1
patient_3529,town_1
patient_13976,town_1
patient_1072,town_1
patient_16360,town_1
patient_10095,town_1
patient_16943,town_1
patient_18648,town_1
patient_7536,town_1
patient_13985,town_1
patient_15222,town_1
patient_756,town_1
patient_22180,town_1
patient_18978,town_1
patient_4927,town_1
patient_18890,town_1
patient_9138,town_1
patient_8265,town_1
patient_5605,town_1
patient_16622,town_1
patient_18910,town_1
patient_8562,town_1
patient_19117,town_1
patient_20360,town_1
patient_6886,town_1
patient_10594,town_1
patient_19819,town_1
patient_14515,town_1
patient_3615,town_1
patient_6466,town_1
patient_568,town_1
patient_6111,town_1
patient_5482,town_1
patient_18677,town_1
patient_22129,town_1
patient_3271,town_1
patient_17251,town_1
patient_8880,town_1
patient_11441,town_1
patient_1482,town_1
patient_16027,town_1
patient_19311,town_1
patient_945,town_1
patient_13570,town_1
patient_2681,town_1
patient_9393,town_1
patient_3402,town_1
patient_11636,town_1
patient_6066,town_1
patient_15343,town_1
patient_13165,town_1
patient_20439,town_1
patient_5743,town_1
patient_181,town_1
patient_20051,town_1
patient_11343,town_1
patient_7663,town_1
patient_72,town_1
patient_21274,town_1
patient_18302,town_1
patient_22096,town_1
patient_20584,town_1
patient_17421,town_1
patient_12030,town_1
patient_16396,town_1
patient_1864,town_1
patient_8152,town_1
patient_11635,town_1
patient_763,town_1
patient_17173,town_1
patient_14982,town_1
patient_20179,town_1
patient_845,town_1
patient_5530,town_1
patient_854,town_1
patient_4792,town_1
patient_8211,town_1
patient_10156,town_1
patient_10506,town_1
patient_8998,town_1
patient_18001,town_1
patient_2356,town_1
patient_13945,town_1
patient_1143,town_1
patient_10505,town_1
patient_12356,town_1
patient_21355,town_1
patient_22024,town_1
patient_20107,town_1
patient_473,town_1
patient_19399,town_1
patient_20058,town_1
patient_182,town_1
patient_1002,town_1
patient_5418,town_1
patient_17707,town_1
patient_8175,town_1
patient_19753,town_1
patient_21565,town_1
patient_871,town_1
patient_11644,town_1
patient_17487,town_1
patient_4226,town_1
patient_15106,town_1
patient_11964,town_1
patient_8166,town_1
patient_13323,town_1
patient_13640,town_1
patient_16299,town_1
patient_17268,town_1
patient_19938,town_1
patient_4196,town_1
patient_13738,town_1
patient_21949,town_1
patient_8121,town_1
patient_10164,town_1
patient_2077,town_1
patient_5843,town_1
patient_13943,town_1
patient_6017,town_1
patient_5067,town_1
patient_12883,town_1
patient_9582,town_1
patient_9966,town_1
patient_444,town_1
patient_8863,town_1
patient_10121,town_1
patient_18510,town_1
patient_10768,town_1
patient_8965,town_1
patient_3117,town_1
patient_3399,town_1
patient_4069,town_1
patient_22478,town_1
patient_423,town_1
patient_544,town_1
patient_13679,town_1
patient_16584,town_1
patient_15783,town_1
patient_2751,town_1
patient_2932,town_1
patient_19149,town_1
patient_4374,town_1
patient_7294,town_1
patient_6420,town_1
patient_18629,town_1
patient_19313,town_1
patient_11382,town_1
patient_4371,town_2
patient_5713,town_2
patient_21699,town_2
patient_16420,town_2
patient_14342,town_2
patient_1076,town_2
patient_3850,town_2
patient_9855,town_2
patient_6526,town_2
patient_11457,town_2
patient_10610,town_2
patient_8228,town_2
patient_7667,town_2
patient_19504,town_2
patient_16140,town_2
patient_12488,town_2
patient_8795,town_2
patient_6282,town_2
patient_6896,town_2
patient_10697,town_2
patient_502,town_2
patient_10253,town_2
patient_16155,town_2
patient_8338,town_2
patient_19879,town_2
patient_7532,town_2
patient_14127,town_2
patient_12083,town_2
patient_12075,town_2
patient_15148,town_2
patient_18814,town_2
patient_14912,town_2
patient_10157,town_2
patient_21325,town_2
patient_20019,town_2
patient_1078,town_2
patient_8290,town_2
patient_15722,town_2
patient_11133,town_2
patient_7590,town_2
patient_18796,town_2
patient_18851,town_2
patient_9580,town_2
